,KPI,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,LITROS,MARCELO,MAU,VICTOR,BRADISH,SANTI,FER,SHALOM,HC,ERWIN,MAU/SANTI,ARTURO,ZAPATA,JAIRO,GILBERT,PASCUAL,MAU/JESUS,REY,,<=,CLASIFICACIÓN,<=
,ENERO,"6,294,070.68","4,614,017.72","3,267,490.63","1,846,803.81","2,626,703.88","2,270,987.17","2,790,375.90","1,999,883.22","832,480.92","3,408,677.01","283,025.80","340,996.00","286,285.50","234,664.27",-,-,-,,"5,000,000.00",A,"10,000,000.00"
,FEBRERO,"6,650,931.31","6,269,102.90","3,774,262.39","2,883,966.89","1,690,451.21","2,330,595.06","1,906,038.05","2,043,254.60","1,118,416.35","1,122,109.23","552,311.39","249,010.95","616,768.00","670,207.00",-,-,-,,"2,000,000.00",B,"4,999,999.00"
,MARZO,"5,461,179.45","5,666,168.61","3,049,013.47","3,770,083.59","2,455,386.02","4,087,474.17","1,597,027.60","1,996,169.02","1,058,401.34",-,"198,748.00","363,246.28","368,956.11","355,622.00",-,-,-,,"1,000,000.00",C,"1,999,999.00"
,ABRIL,"5,757,072.38","6,372,417.46","5,765,998.61","6,044,191.17","4,397,633.13","4,611,430.11","2,080,907.48","2,359,176.55","744,290.69",-,"755,547.19","1,386,244.93","323,212.43","55,001.44","198,087.51",-,-,,0.00,D,"999,999.00"
,MAYO,"5,677,702.18","6,275,444.39","5,754,834.88","5,347,063.27","5,714,178.24","3,503,584.04","3,464,239.46","3,004,897.41","1,199,897.01","312,333.84","1,188,418.25","562,530.95","380,171.72","200,003.68","165,025.05","254,210.61","174,062.00",,,,
,META,"5,500,000.00","5,500,000.00","3,000,000.00","3,500,000.00","3,000,000.00","3,500,000.00","2,000,000.00","2,000,000.00","900,000.00","1,000,000.00","500,000.00","550,000.00","390,000.00","300,000.00","190,000.00","150,000.00","150,000.00",,"32,130,000.00",,
,CLASE,A,A,B,B,B,B,B,B,D,C,D,D,D,D,D,D,D,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,UTILIDAD,MARCELO,MAU,VICTOR,BRADISH,SANTI,FER,SHALOM,HC,ERWIN,MAU/SANTI,ARTURO,ZAPATA,JAIRO,GILBERT,PASCUAL,MAU/JESUS,REY,,<=,CLASIFICACIÓN,<=
,ENERO," $ 14,192,244.21 "," $ 9,115,067.31 "," $ 7,544,861.80 "," $ 5,545,175.91 "," $ 6,859,582.56 "," $ 6,657,292.13 "," $ 5,541,064.31 "," $ 5,973,563.22 "," $ 2,156,804.74 "," $ 3,927,068.20 "," $ 666,795.36 "," $ 390,409.32 "," $ 886,762.22 "," $ 692,265.73 ", -, -, -,," $ 10,000,000.00 ",A," $ 20,000,000.00 "
,FEBRERO," $ 13,020,192.47 "," $ 10,870,505.03 "," $ 6,970,208.41 "," $ 5,380,277.80 "," $ 4,723,786.24 "," $ 5,847,409.12 "," $ 3,848,761.89 "," $ 5,163,623.96 "," $ 2,360,735.09 "," $ 1,231,555.31 "," $ 1,369,886.62 "," $ 663,008.20 "," $ 1,671,564.47 "," $ 1,816,065.23 ", -, -, -,," $ 5,000,000.00 ",B," $ 9,999,999.00 "
,MARZO," $ 12,881,469.82 "," $ 11,491,369.53 "," $ 7,728,948.01 "," $ 9,710,343.84 "," $ 5,680,497.93 "," $ 9,561,251.28 "," $ 3,486,132.14 "," $ 3,066,493.45 "," $ 3,028,921.13 ", -," $ 254,092.64 "," $ 909,641.60 "," $ 821,434.28 "," $ 1,135,971.49 ", -, -, -,," $ 1,000,000.00 ",C," $ 4,999,999.00 "
